ID,res
13,0.939767493
14,-0.276117832
23,-0.692510965
26,1.536321087
34,0.172731485
39,-0.867603807
41,-0.485903222
69,-1.571522194
72,0.172144429
89,0.163136413
90,0.914155854
91,0.170644565
116,0.682201448
118,-0.559206846
135,-0.64443693
141,-0.239487277
143,1.682444093
153,-0.238813074
159,0.327631386
166,-1.085231827
179,0.251059551
195,1.398075147
209,-0.326617123
211,1.055361234
217,-0.806427982
223,-0.815596411
224,-0.70147842
229,-1.457645431
244,-0.562294727
277,1.917803049
278,-0.248654937
290,1.380643747
291,0.120607089
294,-0.260481988
299,0.344849936
308,-0.804607044
309,1.108556092
316,-1.103079161
348,0.801130423
355,0.238550624
373,0.13850186
374,0.7262803
409,-0.858995725
415,-1.227583936
424,-0.291855401
426,1.212736728
431,0.577182206
456,2.280428421
463,-1.004110085
490,0.105948239
516,3.057125296
519,0.019742651
526,0.891495753
528,0.849443442
537,1.610904824
544,0.055299946
555,1.205396448
575,-1.746284491
581,-0.751873044
588,0.077622246
590,-0.590105144
593,0.224218285
598,-1.715603943
602,0.53522776
603,-0.492539468
606,-0.462827277
621,-0.150356069
649,-0.584970419
665,-1.726508197
709,0.604024959
722,0.02687699
747,-3.046966569
752,1.10752771
755,-0.691675121
766,0.19570964
768,0.292254428
774,-1.051896381
775,-1.509694399
818,1.532718319
821,1.923693661
840,0.598443438
842,0.166663054
844,0.137198837
854,0.31370951
859,-0.273598781
865,1.048432867
871,0.693805852
880,-0.595067986
895,0.123841943
905,0.037522092
923,0.065903233
932,1.028351215
937,-0.514860723
938,0.623276425
953,0.173953094
954,-0.034780885
979,0.980823565
988,0.13859221
994,-1.096169506
999,-1.283708808
