ID,res
13,-0.342519091
14,-0.716398708
23,-1.239345267
26,-0.658508602
34,-1.826313505
39,-0.418603923
41,-0.366204011
69,-0.294001113
72,-0.023122633
89,0.362399384
90,-0.466714383
91,0.29851361
116,-0.952708147
118,0.667540579
135,0.087238539
141,-0.109209448
143,-0.677492197
153,1.698822656
159,0.385831002
166,0.246757029
179,-2.586931756
195,-1.96310302
209,-0.061304828
211,0.895252538
217,-0.028058771
223,-0.999747017
224,-0.159603961
229,-0.527693648
244,0.216156456
277,-0.91895498
278,-0.900594655
290,0.288608791
291,0.928884794
294,1.673047212
299,0.285514424
308,-0.372582441
309,-1.433882756
316,-0.88446792
348,1.124182941
355,-0.722805797
373,0.462664957
374,-0.31255353
409,0.848254497
415,-0.085319577
424,-0.715345095
426,-0.736696068
431,-0.007222639
456,0.70047787
463,1.626392345
490,1.624660897
516,1.418685299
519,-0.990493419
526,0.613368245
528,-0.488826231
537,-0.422587281
544,0.203245676
555,1.495229991
575,-1.285285153
581,2.146510413
588,-0.162645541
590,-0.523382144
593,0.843446866
598,-0.301308334
602,1.087841508
603,0.04093482
606,0.286535252
621,-0.004113407
649,0.686813204
665,-0.14467958
709,-0.612077935
722,0.630565378
747,-1.192702573
752,0.834967448
755,0.597328115
766,-1.180812691
768,0.667471782
774,-0.878199539
775,1.097471316
818,-1.091038436
821,-0.092975531
840,-1.509583205
842,-0.263891948
844,0.598657541
854,3.304329844
859,0.947104778
865,-1.215401525
871,0.892175371
880,-1.66142037
895,-0.20364996
905,0.957070086
923,-2.272712214
932,0.724725141
937,0.885334027
938,-0.838911117
953,-0.15718194
954,2.257234977
979,-0.736823178
988,0.142436401
994,-0.167136701
999,0.245213381
