ID,res
13,-0.520869344
14,1.623202522
23,-1.070068229
26,1.685887244
34,-0.241689768
39,-0.468200479
41,-0.772978228
69,2.149919336
72,-1.334353628
89,0.49587048
90,1.23397624
91,0.634362125
116,0.412022275
118,0.793585308
135,-0.152410633
141,-0.228895815
143,-0.900791751
153,-0.735026156
159,-1.427685784
166,0.619283535
179,-0.006198262
195,-0.685706846
209,-0.279333528
211,-0.782730275
217,-0.77899724
223,-0.374800093
224,-0.319393809
229,0.084543768
244,-0.768473603
277,-0.625910913
278,-0.900870855
290,0.66372867
291,0.300279118
294,0.074856824
299,0.206372695
308,-0.488922835
309,-0.627951658
316,-0.046916726
348,0.162618115
355,1.292305915
373,-0.463556502
374,0.305463227
409,-0.083988713
415,0.410363449
424,0.183678241
426,1.778741618
431,0.037682847
456,1.176220124
463,-0.55853581
490,-0.94561794
516,-0.665188639
519,0.452030192
526,0.526855669
528,-0.230262235
537,1.397426653
544,1.763653031
555,0.485601354
575,-0.265738944
581,0.151611371
588,1.376609813
590,-0.180394314
593,-1.567675132
598,-0.260725893
602,0.961810352
603,0.853895464
606,0.418796702
621,0.339956513
649,0.596425059
665,1.871418005
709,0.60287037
722,-0.766168804
747,-0.620326487
752,0.790190251
755,-0.24197651
766,1.117486481
768,1.184930635
774,1.646474838
775,0.192996186
818,-0.392553554
821,0.007051323
840,-2.494835444
842,-0.977296362
844,0.628568823
854,-0.084140473
859,0.382131608
865,-1.093413799
871,-0.755463961
880,-0.263992919
895,-0.752462697
905,0.440692091
923,-1.277450766
932,1.177192046
937,0.902505834
938,-1.261304177
953,0.837455146
954,-2.348290308
979,0.610971137
988,-0.047867742
994,-2.399197708
999,-0.019318956
