ID,res
13,-1.524380549
14,1.143146973
23,1.60381109
26,0.031742129
34,-1.227583941
39,-0.312468869
41,-0.48490693
69,0.771982274
72,0.40044461
89,-0.851851243
90,-0.133894847
91,1.530201425
116,0.256574282
118,0.875489835
135,1.045283291
141,1.864615616
143,-2.551407408
153,-2.521240032
159,0.779521087
166,-0.335325216
179,0.929726653
195,0.312910943
209,-2.04E-04
211,-0.250647707
217,1.520275176
223,-2.093256519
224,-0.010441562
229,2.411346078
244,-0.3968057
277,1.332942638
278,0.356054887
290,0.256261119
291,-0.105843223
294,-0.659082128
299,-0.070260509
308,-0.606533303
309,0.288070591
316,-1.475736982
348,-0.336438042
355,1.019224202
373,-1.809960011
374,0.978923572
409,-0.433877949
415,1.734836733
424,0.025771027
426,1.018799868
431,0.439563177
456,-1.644855754
463,0.208426552
490,0.046307074
516,0.246565287
519,0.493827612
526,-0.085506444
528,-0.127504607
537,-2.603862888
544,-0.236654426
555,1.124215034
575,1.183011314
581,1.182185571
588,0.738222267
590,0.001860188
593,-0.813119873
598,-0.479495534
602,-0.482596015
603,0.768721192
606,-0.046022232
621,0.759870166
649,-2.162259003
665,-0.723032398
709,-0.537076519
722,1.050796701
747,-1.465823073
752,0.200817443
755,-0.425394882
766,1.542764234
768,0.500707239
774,1.109808614
775,-0.761241942
818,1.207116099
821,0.447529833
840,0.904211259
842,-0.332790557
844,1.520098784
854,-1.091850516
859,-0.391696123
865,-1.068554737
871,-0.688703092
880,0.787645305
895,-0.274499893
905,0.258801772
923,2.358427697
932,0.62883023
937,0.146017567
938,0.933384481
953,0.08980247
954,-0.600888253
979,1.135122845
988,0.127404219
994,0.60621156
999,0.29093678
