ID,res
13,-0.088685452
14,-1.595484898
23,0.851709321
26,-0.713560806
34,1.066430344
39,-0.53624259
41,0.535917056
69,-1.828626634
72,-1.813533356
89,1.372613707
90,-0.564269541
91,0.970311227
116,-0.018633984
118,0.36237035
135,2.011305586
141,-1.177967499
143,-0.755170482
153,-0.331284485
159,-0.283702696
166,0.3141529
179,1.844838671
195,-0.981917149
209,2.196003763
211,-0.204667665
217,0.975142936
223,-0.867566116
224,-0.501187592
229,0.785591163
244,-2.102247324
277,-0.04220493
278,-0.404809413
290,-0.112765966
291,1.797140441
294,-0.810326258
299,1.900900074
308,0.70895444
309,0.736194775
316,1.365776554
348,-0.576263893
355,-0.80473232
373,-0.535065812
374,0.791547909
409,-0.707607151
415,-1.275543372
424,2.375464461
426,-1.093589748
431,0.192441582
456,-0.126160381
463,-1.38843214
490,0.469902192
516,0.960382357
519,-0.005141288
526,-0.870464442
528,-0.46287904
537,-1.911151255
544,0.369816044
555,-0.462288057
575,0.321955892
581,-0.28400139
588,1.091856443
590,0.160216363
593,2.708168284
598,0.286289929
602,-0.032510251
603,-0.989678019
606,0.211809928
621,-0.972017534
649,0.549224014
665,-1.04902153
709,0.449133935
722,-0.385855653
747,-1.570135523
752,1.226942601
755,0.666694396
766,-1.151603163
768,-0.160788483
774,-0.972913776
775,-0.610461659
818,0.499276876
821,0.879364139
840,0.923129239
842,0.693133972
844,-0.139500325
854,-3.310678727
859,0.538465799
865,0.892485867
871,0.489462036
880,-1.196351747
895,0.462737853
905,0.971703576
923,-1.472158964
932,0.528964941
937,2.454400353
938,-1.64934548
953,0.795805155
954,-0.341293167
979,-1.4052538
988,-0.922960815
994,0.00989813
999,-0.408859774
