ID,res
13,1.71261886
14,-0.762876251
23,-0.201937142
26,-0.304304465
34,-0.872653202
39,-2.210926108
41,-0.169443001
69,-2.198927214
72,-0.205951562
89,-0.772889844
90,0.509409293
91,-0.216650711
116,-0.674442592
118,-0.732627804
135,-0.059329708
141,0.750526124
143,0.132932126
153,-0.590778653
159,-0.187182985
166,1.978184301
179,-1.350146116
195,-0.264520686
209,-0.471898847
211,-0.569186152
217,2.332719443
223,-0.48904434
224,-0.769124271
229,-0.966199045
244,1.26805007
277,1.103332303
278,-1.922304982
290,-0.362042071
291,0.662247195
294,-0.166542992
299,-0.00497512
308,-1.38088679
309,-1.256526882
316,0.325245721
348,-0.277000532
355,-0.389011004
373,1.210393907
374,0.234916592
409,-1.434678461
415,-0.921722129
424,-0.542095946
426,-1.151212583
431,0.917557425
456,-1.686657262
463,-1.135852774
490,-0.07635868
516,0.614001365
519,2.277106489
526,-0.270768139
528,-0.397542487
537,-0.741708582
544,-1.979553103
555,0.72109882
575,1.040007871
581,-0.88942164
588,1.244497462
590,0.010259385
593,0.397176349
598,1.237323366
602,-0.65106451
603,0.831516191
606,0.950503252
621,1.586520895
649,1.553562948
665,1.148446572
709,-1.283267676
722,0.589455277
747,-0.298366099
752,0.053781267
755,1.201308263
766,0.786552119
768,-1.784414501
774,0.363997198
775,-0.253184771
818,-0.277971887
821,-0.563868841
840,0.147959761
842,0.659715976
844,0.402918644
854,0.340969125
859,-0.568359188
865,0.097963499
871,-0.442906903
880,-1.807739596
895,0.245090754
905,1.673007885
923,-1.383294151
932,1.149604649
937,1.006467669
938,0.392570509
953,-0.88619325
954,-1.371754277
979,1.521296777
988,0.571550441
994,0.239980893
999,0.293443708
